,page,job_id,title,role_id,listing_date,teaser,classification,subClassification,workType,location,suburbWhereValue,salary,companyName,company_advertiser,isPrivateAdvertiser
0,1,59878387,Senior Data Engineer,data-engineer,2023-01-27T00:24:25Z,"Come and enjoy what Relational Data Systems has to offer which includes, an excellent team culture, flexible hybrid work options and career growth.",Information & Communication Technology,Engineering - Software,Full Time,Perth,Perth WA 6000,,Land Services SA,Land Services SA,False
1,1,59846962,Senior Data Engineer,data-engineer,2023-01-25T01:57:52Z,"Multiple opportunities for highly skilled Senior Data Engineers with a skills mix across SQL, MSBI + Python, AWS/Azure and more",Information & Communication Technology,Consultants,Full Time,Sydney,North Sydney NSW 2060,"negotiable, depending on experience",DWS,DWS Limited,False
2,1,59876675,Lead Data Engineer,data-engineer,2023-01-26T22:36:57Z,Bring your significant data engineering experience across a range of technologies to build an innovative and future ready Data Platform.,Information & Communication Technology,Engineering - Software,Full Time,Sydney,Sydney NSW 2000,,Macquarie Group,Macquarie Group Limited,False
3,1,59826549,Data Engineer,data-engineer,2023-01-24T00:37:27Z,"Data Program will transform how we store, govern, analyse and use data across Bupa.",Information & Communication Technology,Other,Full Time,Melbourne,Melbourne VIC 3000,,Bupa,Bupa HI Pty Ltd,False
4,1,59900084,Data Engineer,data-engineer,2023-01-27T23:17:44Z,Data Engineer - 12 month contract - SYDNEY - up to 550 AUD per day,Information & Communication Technology,Engineering - Software,Contract/Temp,Sydney,,$60 – $70 per hour,Elite IT Recruitment,Elite IT Recruitment,False
5,1,59854558,Data Engineer - Cloud - Hawthorn East,data-engineer,2023-01-25T06:25:07Z,"As a Data Engineer, you will bring extensive expertise on data handling and curation capabilities to the team.",Information & Communication Technology,Developers/Programmers,Full Time,Melbourne,Melbourne VIC 3000,,Coles Group,Coles,False
6,1,59885258,Big Data Engineer,big-data-engineer,2023-01-27T04:06:52Z,"Join our Technology team & showcase your data engineering skills as a Big Data Engineer, building and maintaining applications for our data platform.",Information & Communication Technology,Engineering - Software,Full Time,Sydney,Sydney NSW 2000,,Macquarie Group,Macquarie Group Limited,False
7,1,59883566,Data Engineer,data-engineer,2023-01-27T03:22:04Z,Data Engineer on a large Azure integration project for a leading Insurance company.,Information & Communication Technology,Database Development & Administration,Full Time,Sydney,Sydney NSW 2000,$160000 + super + bonus,Ethos BeathChapman,Ethos BeathChapman,False
8,1,59817339,Data Engineer,data-engineer,2023-01-23T04:41:10Z,WANTED: A logical mind!,Information & Communication Technology,Engineering - Software,Full Time,Melbourne,Melbourne VIC 3000,,Judo Bank,Judo Bank,False
9,1,59818229,Data Engineer,data-engineer,2023-01-23T05:15:43Z,"Fantastic opportunity for an experienced Data Engineer to play a key ole in designing, building, and maintaining our data infrastructure!",Information & Communication Technology,Engineering - Software,Full Time,Brisbane,Fortitude Valley QLD 4006,,Genie Solutions,Genie Solutions Pty Ltd,False
10,1,59884075,Data Engineer,data-engineer,2023-01-27T03:34:03Z,"We are looking for a ​Data Engineer to join our firm, working collaboratively with our Government clients in a supportive high-paced team.",Information & Communication Technology,Database Development & Administration,Contract/Temp,Canberra,Canberra ACT 2600,,Reason Group,Reason Group,False
11,1,59874676,Data Engineer,data-engineer,2023-01-26T21:35:11Z,"We are seeking an experienced Data Engineer to deliver deliver new ingestion, storage and consumption patterns using AWS cloud native technologies",Information & Communication Technology,Database Development & Administration,Contract/Temp,Melbourne,Melbourne VIC 3000,,Talent International,Talent - SEEK Recruitment Agency of the Year | 7 Time Winner,False
12,1,59834611,Data Engineer,data-engineer,2023-01-24T05:43:03Z,Enrich the firm's data capability through developing innovative and scalable data pipelines. Join an industry leader in their growth of a new product.,Information & Communication Technology,Database Development & Administration,Full Time,Blue Mountains & Central West,,,Robert Walters,Robert Walters,False
13,1,59832502,Data Engineer,data-engineer,2023-01-24T04:21:30Z,Data Engineer | GCP | Snowflake | SE Suburbs | Immediate start,Information & Communication Technology,Engineering - Software,Full Time,Melbourne,Rowville VIC 3178,Dependent on experience,Brennan Sourcing,Brennan Sourcing,False
14,1,59807716,Data Engineer,data-engineer,2023-01-22T21:18:11Z,DATA ENGINEER | ETL | PIPELINES | AWS | DATA LAKE |INFRASTRUCTURE | HYBRID | MELBOURNE | SQL | PYTHON | S3 | GLUE | LAMBDA | REDSHIFT | APIs | PYSPARK,Information & Communication Technology,Engineering - Software,Full Time,Melbourne,,$120k - $150k p.a.,Davidson Recruitment,Davidson,False
15,1,59836511,Data Engineer,data-engineer,2023-01-24T07:14:37Z,A fast growing scale up is looking for a Data Engineer with good SQL and Python skills. Hybrid working. Permanent position. ASAP start.,Information & Communication Technology,Engineering - Software,Full Time,Melbourne,Melbourne VIC 3000,"$120,000 – $140,000 package + shares",,Private Advertiser,True
16,1,59797010,Data Engineer,data-engineer,2023-01-20T03:39:01Z,"Based in Brisbane or Melbourne, the Data Engineer contributes to the development and improvement of the data platform.",Information & Communication Technology,Engineering - Software,Full Time,Melbourne,Melbourne VIC 3000,,Shell Energy,Shell Energy,False
17,1,59836448,Data Engineer,data-engineer,2023-01-24T07:10:57Z,A fast growing scale up is looking for a Data Engineer with good SQL and Python skills. Hybrid working. Permanent position. ASAP start.,Information & Communication Technology,Engineering - Software,Full Time,Sydney,Sydney NSW 2000,"$120,000 – $140,000 package + shares",,Private Advertiser,True
18,1,59827209,Data Engineer,data-engineer,2023-01-24T01:01:30Z,Seeking Data Engineers to join this great Federal Government initiative working in large complex enterprise environments,Information & Communication Technology,Database Development & Administration,Contract/Temp,Canberra,Canberra ACT 2600,,Calleo,Calleo,False
19,1,59843406,Data Engineer,data-engineer,2023-01-24T23:22:33Z,Talenza has partnered up with an Analytics & AI company who are seeking a highly-skilled Data Engineer for a fully-remote position in Melbourne.,Information & Communication Technology,Database Development & Administration,Full Time,Melbourne,Melbourne VIC 3000,$138k - $149k p.a.,Talenza,Talenza,False
20,1,59833426,Data Analyst Engineer - Azure,analyst-engineer,2023-01-24T04:59:05Z,AZURE | Data Bricks | Data Factory | SQL | Python | API's,Information & Communication Technology,Database Development & Administration,Full Time,Melbourne,,,Six Degrees Executive,Six Degrees Executive Pty Ltd,False
