id,title,description,via,role
0da5c5c0-68db-4d70-b68b-fd542d4914f6,Staff Data Engineer – Analytics,"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals... businesses and economies to thrive. When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement. Join Visa: A Network Working for Everyone.

Job Description

Verifi a Visa entity operates a network enabling data sharing among Acquirers, Merchants & Issuers for fraud prevention, dispute prevention and revenue recovery. Below are the key product solutions which are managed by this technology team . Card Holder Dispute Resolution Network (CDRN) - Resolve pre-dispute cases directed by participating CDRN issuers. Intelligence Suite - Risk management platform that allows merchant to customize services to protect their business, gain greater customer insights and seamlessly keep pace with emerging fraud threats The Verifi reporting and analytics team is responsible for all facets of architecture, software development and production support of data pipelines, ETL process, reporting and analytics system. The reporting and analytics team support Visa's Business users in Billing, Client Services, Issuer Processing and Global Contact Center Teams in providing access to data and insights from multiple applications. As a Staff Data Engineer supporting reporting and analytics group, you will be responsible for mentoring the analytics talent, keeping the team highly engaged and motivated while delivering exceptional results. Your ability to work across functions and teams will allow you to drive results and foster the right culture and environment to achieve Engineering Excellence and Innovation. You will be responsible for working with product development, quality engineering, security engineering, enterprise operations and other internal and external technology partners to deliver products for business integration & enablement. Responsibilities Work with Business stakeholders to understand Business requirements and desired business outcomes Understand OLTP application and data, gain functional understanding and work on conceptual design of data pipelines and Dashboards/reports. Assist in scoping and designing Analytic data assets, implementing modelled attributes, and contributing to brainstorming sessions. Build complex dashboards/reports using the Power BI, Tableau and SSAS. Build and support various ad-hoc reports generated from heterogeneous database. Ensure project delivery within timelines and budget requirements. Perform other tasks like researching new data sources, data governance, system infrastructure, analytics tool evaluation, and other cross team functions, on an as-needed basis. Build monitoring and alerting for the reporting and analytics system. Seek prospects for consolidating various reporting systems and build centralized reporting system that caters various needs. Integrate reporting system with Jenkins for automated deployment. Find opportunities to create, automate and scale repeatable analysis or build self-service tools for business users Present analysis results or insights from data to Business stakeholders Execute data engineering projects ranging from small to large either individually or as part of a project team Support, debug, and fix issues in Production This is a hybrid position. Hybrid employees can alternate time between both remote and office. Employees in hybrid roles are expected to work from the office two days a week, Tuesdays and Wednesdays with a general guidepost of being in the office 50% of the time based on business needs.

Qualifications

• 10 years of work experience with a bachelor’s degree or at least 8 years of work experience with a master’s degree • Hands on experience in building analytical report dashboards using Microsoft Technologies (SQL Server, Power BI, Analysis services) to solve business problems • Strong Data analysis and SQL expertise and understanding of DWH data models required • Work experience in the ETL tool like clover is preferred along with the exposure to Java. • Experience with data visualization and business intelligence tools like Power BI, Tableau or other BI tools required. • Good to have the exposure to the data replication tools like Qlik replicate. • Experience using DAX functions, building Power BI data models required • Experience with embedding dashboards in Power apps, Power Automate, Azure Cloud components nice to have • Experience working in a scrum team owning end to end solutions • Presentation skills and good communication skills presenting insights to Business is highly desired. • Familiarity or experience with data mining and statistical modeling (e.g., regression modeling, clustering techniques, decision trees, etc.) is nice to have • Previous exposure to financial services, credit cards or merchant analytics is a plus, but not required. • Strategic thinker and good business acumen to orient data engineering to the business needs of internal clients. • Demonstrated analytical rigor, strong attention to detail, team oriented, energetic, collaborative, diplomatic, and flexible style.

Additional Information

Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law", Salary.com,data%20engineer%20india
44245f28-de51-42ff-9a40-dfdd388137f9,Director - Data Engineering (Pyspark + Databricks),"*** Excellent Opportunity with Remote working, joining bonus, global exposure ***

About Invent Health...

At Invent Health, we intertwine risk adjustment analytics and machine learning with healthcare data to create actionable insights that bolster our clients’ business outcomes and create a tangible difference in their members’ lives. Our unique solutions provide accurate gap and chase lists, financial and utilization forecasting, gap reporting, and the ability to improve risk scores. In this way, we prevent revenue leakage and false positives all while prioritizing high risk groups

Job Description:
• Strong coding skills and business solution skills with strong analytical and problem solving skills
• To work in capacity of AWS Databricks, Python, Pyspark Hands ON developer
• Work with stakeholders for regular updates, requirement understanding and design discussions. Hands-on experience on designing and developing scripts for custom ETL processes and automation in AWS, data bricks, Python, Pyspark etc.
• Should be skilled in creating architecture and design documentation and knowledge of data engineering tools & technologies
• Expertise in Cloud related Big Data integration and infrastructure Tec stack using Databricks & Apache Spark framework
• Well-versed with scripting languages – Python
• Well versed with Data Orchestration/ETL .
• Good SQL/PL SQL programming Skills – writing complex procedures and queries for Dataframes and Notebooks
• Very good data engineering mindset to build, maintain pipelines, and ability to closely monitor critical pipeline batch jobs and resolve failures on urgent basis.
• Manage and Mentor junior developers in adopting and implementing the data bricks workflows.
• Excellent communication skills is a must

Minimum Qualifications:
• B.E./ master’s in computer science, Information systems, or Computer engineering, Systems Engineering with 6+ years of relevant experience
• 10+ years of experience
• Minimum of 4+ work experience using Databricks, spark and Databricks workflows, Autoloader.
• Knowledge of other scripting languages such as Scala, JavaScript, API development.
• Knowledge of other Data Orchestration/ETL tools - Alteryx, Snowflake, Azure Data Factory etc.
• Knowledge of any of BI Tools - Tableau, Power BI, Quick Sight.
", Trabajo.org,data%20engineer%20india
6521fe31-92e8-4521-8591-9db3b91409ad,"Data Engineer | Analytics | Retail, Media & Hi-Tech","Overview

EXL (NASDAQ: EXLS) is a leading operations management and analytics company that designs and enables agile, customer-centric operating models to help clients improve their revenue growth and profitability. Our delivery model provides market-leading business outcomes using EXL’s proprietary Business EXLerator Framework™, cutting-edge analytics, digital transformation and domain... expertise. At EXL, we look deeper to help companies improve global operations, enhance data-driven insights, increase customer satisfaction, and manage risk and compliance. EXL serves the insurance, healthcare, banking and financial services, utilities, travel, transportation and logistics industries. Headquartered in New York, New York, EXL has more than 32,000 professionals in locations throughout the United States, Europe, Asia (primarily India and Philippines), South America, Australia and South Africa.

EXL Analytics provides data-driven, action-oriented solutions to business problems through statistical data mining, cutting edge analytics techniques and a consultative approach. Leveraging proprietary methodology and best-of-breed technology, EXL Analytics takes an industry-specific approach to transform our clients’ decision making and embed analytics more deeply into their business processes. Our global footprint of nearly 2,000 data scientists and analysts assist client organizations with complex risk minimization methods, advanced marketing, pricing and CRM strategies, internal cost analysis, and cost and resource optimization within the organization. EXL Analytics serves the insurance, healthcare, banking, capital markets, utilities, retail and e-commerce, travel, transportation and logistics industries.

Please visit www.exlservice.com for more information about EXL Analytics.

Responsibilities:
• Emphasis on end-to-end delivery of analysis and guiding junior staff
• Collaborate with client stakeholders to analyze and synthesize the client data to meet the business objective, reporting dashboard, and descriptive/predictive/prescriptive analytic requirements
• Leverage best practices and industry leading tools and technologies to profile data, develop efficient ingestion, and build semantic data layers
• Design data models and solutions for analytical and reporting use cases
• Expected to build the foundational analytics platform components, manage cloud components and help in designing a cost model to monitor cloud usages
• Manage the build and architecture of next-generation Big Data Machine Learning framework developed on a group of core Hadoop technologies
• Contribute and manage design of highly scalable and extensible data platform including but not limited to RDBMS / Big Data / Cloud, which enables industrializing collection, storage, modeling, and analysis of massive data sets from heterogeneous channels
• Reformulate highly technical information into concise, understandable terms for presentations

Qualifications:
• Master’s or Bachelor's degree in Data Science, Computer Engineering, Math, Statistics, Economics or related analytics field from top-tier universities with strong record of achievement
• 3-5 years of consulting, analytics delivery experience with solid data engineering skills and an entrepreneurial, hands-on approach
• Very strong analytical skills with the demonstrated ability to research and make decisions based on the day-to-day and complex customer problems required
• Hand on knowledge of traditional relational data warehouse technologies, such as Oracle, Teradata, or DB2 SQL, including Analytical SQL functions
• Experience in data architecture and data modeling, including creating Semantic Layer Data Models, Big data platforms including Hadoop (preferably Azure or GCP) and technologies including Spark, Airflow, Kafka, Hbase, Pig, NoSQL, etc.
• Cloud components, including cluster management, Kubernetes, or other containerized services, storage, and workspace management
• Preferred domain expertise in Healthcare, Pharma, Retail or Media
• Experience in Machine Learning or NLP, such as Scikit-Learn, SpaCity, Pytorch, or Spark NLP is desirable
• Prior experience in management consulting and/or analytics based consulting is desirable

What we offer:
• EXL Analytics offers an exciting, fast paced and innovative environment, which brings together a group of sharp and entrepreneurial professionals who are eager to influence business decisions. From your very first day, you get an opportunity to work closely with highly experienced, world class analytics consultants. You can expect to learn many aspects of businesses that our clients engage in. You will also learn effective teamwork and time-management skills - key aspects for personal and professional growth
• Analytics requires different skill sets at different levels within the organization. At EXL Analytics, we invest heavily in training you in all aspects of analytics as well as in leading analytical tools and techniques.
• We provide guidance/ coaching to every employee through our mentoring program wherein every junior level employee is assigned a senior level professional as advisors.
• Sky is the limit for our team members. The unique experiences gathered at EXL Analytics sets the stage for further growth and development in our company and beyond.

EEO/Minorities/Females/Vets/Disabilities", Glassdoor,data%20engineer%20india
0ef676b0-a125-45e0-ba55-fcf3b52493a4,"Senior Specialist, Federal Data Engineer","• *Business Title:** Senior Specialist, Federal Data Engineer
• *Requisition Number:** 97172 - 95
• *Function:** Advisory...
• *Area of Interest:**
• *State:** VA
• *City:** Ashburn
• *Description:**

The KPMG Advisory practice is currently our fastest growing practice. We are seeing tremendous client demand, and looking forward we don't anticipate that slowing down. In this ever-changing market environment, our professionals must be adaptable and thrive in a collaborative, team-driven culture. At KPMG, our people are our number one priority. With a wealth of learning and career development opportunities, a world-class training facility and leading market tools, we make sure our people continue to grow both professionally and personally. If you're looking for a firm with a strong team connection where you can be your whole self, have an impact, advance your skills, deepen your experiences, and have the flexibility and access to constantly find new areas of inspiration and expand your capabilities, then consider a career in Advisory.

KPMG is currently seeking an Senior Specialist for our Federal Advisory practice.

Responsibilities:

+ Collaborate with multi-disciplinary and cross-functional tams to provide data analytics support for our federal client in the development and operation of program integrity and financial oversight functions of the government marketplaces and marketplace-related premium stabilization programs established under the Affordable Care Act. The engagement includes assistance with quality assurance, data quality analysis and compliance reviews

+ Work with clients and team leads to discover data sources in client cloud environment, create data requests; utilize the ETL process to ingest and enrich structured and unstructured data; design, implement, ad test data processing pipelines, and data mining/data science algorithms on a variety of hosted settings

+ Rapidly learn and understand client business processes by reviewing technical documentation, business catalogs, white papers and deep dive into KPMG's client data to better understand the relationship between datasets, client systems and data sources

+ Contribute in developing dashboards, UI and interactive tools to support clients to turn their data into actionable insights and reproducible reports

Qualifications:

+ Minimum three years of experience in developing high-quality scripts and queries, data pipelines, ETL, visualizations, and visualization dashboards

+ Bachelor's degree or Master's degree from an accredited college/university

+ Proficiency with programming languages such as Python, Scala and R and their open source packages/libraries

+ Market-leading fluency in Oracle databases, Linux/Unix tools, Shell Script/Bash and Job schedulers such as Cron job

+ Expertise with development tools and team methodologies (Agile, Git, test driven environment, CI/CD release management)

+ Experience with large-scale big data methods (Hadoop stack, Cloud, Kubernetes)

+ Familiarity with cloud services and tools particularly AWS native services required for designing and implanting reproducible reports, big data processing, cloud database tools (RDS, Aurora, Redshift, EMR etc) is a plus

+ Basic knowledge on government health market, Affordable Care Act, public health policy is a plus

+ Ability to obtain a U.S. Federal government security clearance within a reasonable period of time, which requires U.S.citizenship

KPMG complies with all local/state regulations in regards to displaying salary ranges. If required, the salary range(s) are displayed below and are specifically for those potential hires who will perform work in or reside in the location(s) listed, if selected for the role. Any offered salary is determined based on internal equity, internal salary ranges, market data, ranges, applicant's skills and prior relevant experience, certain degrees and certifications (e.g. JD, technology), for example.

KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, citizenship status, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link ( https://assets.kpmg.com/content/dam/kpmg/us/pdf/2018/09/eeo.pdf) contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please.

KPMG does not currently require partners or employees to be fully vaccinated or test negative for COVID-19 in order to go to KPMG offices, client sites or KPMG events, except when mandated by federal, state or local law. In some circumstances, clients also may require proof of vaccination or testing (e.g., to go to the client site). /
• *GL:** 5
• *GF:** 15306", LocalJobs.com,data%20engineer%20india
b227f67c-2f26-4dc0-86ed-289554878ede,"Software Engineer, Backend Developer - India","All roles at JumpCloud are Remote unless otherwise specified in the Job Description.

About JumpCloud

JumpCloud’s mission is to Make Work Happen®, providing simple, secure access to an organization’s technology resources from any device, or any location. The JumpCloud Open Directory Platform gives IT, security operations, and DevOps a single, cloud-based solution to control and manage employee identities and their devices, and apply conditional access controls based on Zero Trust principals. Since launching in 2012, our global user base has grown to more than 150,000 organizations, with more than 5,000 paying customers including Cars.com, GoFundMe, Grab, ClassPass, Uplight and Peloton. JumpCloud has raised over $400M from world-class investors including Sapphire Ventures, General Atlantic, Sands Capital, Atlassian, and CrowdStrike. Our teams are growing fast, too, and we're looking for talent across engineering, sales, customer success, marketing, product management, and more. Join... our team of dedicated, passionate, and creative people who are eager to change the IT industry forever.

Do you enjoy solving challenging problems using the latest technologies within a great team? Is knowing your work will be highly visible and mission critical a key component for the next step in your career? At JumpCloud, we’re looking for best-in-class talent to help define the future of modern identity and device management from the ground up.

JumpCloud is looking for an experienced Software Engineer to join an engineering team focusing on OAuth, OpenID Connect, Public Key Infrastructure (PKI) and working with services that use all of these technologies. Identity Management (IM) services are a key part of the entire JumpCloud product portfolio. Along with our Authentication and Authorization services, IM provides the foundation for our identity and security solutions, both cloud and device based. The Identity team’s work will make using JumpCloud even easier and more seamless, while providing a very high level of security.

What we are looking for:
• 3-8 years experience developing distributed systems, microservices, and REST APIs (including using them as integration points with third-party applications) in a variety of programming languages including Golang.
• Experience using one of the public cloud providers (AWS, GCP or Azure) with CI/CD pipelines (Travis/CircleCI) to build, test and deploy.
• Willingness to mentor junior members of the team.
• Bonus points if you have experience with Python, Docker, feature flags, and BDD.

What you will be doing:
• Feature implementation through both individual contributions and providing guidance in terms of organization, process and design.
• Our team primarily uses Go, although experience with other modern languages is fine.
• We collaborate closely with architects, UX, and DevOps to ensure our systems are highly available, scalable, performant, and deliver an amazing user experience.
• We use the scrum framework.
• Learning and working with cryptography and security concepts, including PKI and TLS/SSL agreement protocols, authentication, symmetric and asymmetric encryption, and related concepts. Bonus points if you have experience with these already.
• Using OAuth/OIDC flows to authenticate users and then allow them to use services.
• Integrate identity via certs, OAuth and other methods into cloud services like AWS API Gateway.
• Work with 3rd party applications like mesh VPNs to ensure that these applications work with JumpCloud provided identity.
• Shape the future of our Identity Management services roadmap by participating in planning/scoping conversations with product managers.
• Help the team and organization live by our core values: building connections, thinking big and getting 1% better every day.

#LI-PD1

Where you’ll be working/Location:

JumpCloud is committed to being Remote First, meaning that you are able to work remotely within the country noted in the Job Description.

This role is remote in the country of India. You must be located in and authorized to work in India to be considered for this role.

Why JumpCloud?

If you thrive working in a fast, SaaS-based environment and you are passionate about solving challenging technical problems, we look forward to hearing from you! JumpCloud is an incredible place to share and grow your expertise! You’ll work with amazing talent across each department who are passionate about our mission. We’re out of the box thinkers, so your unique ideas and approaches for conceiving a product and/or feature will be welcome. You’ll have a voice in the organization as you work with a seasoned executive team, a supportive board and in a proven market that our customers are excited about.

One of JumpCloud's three core values is to “Build Connections.” To us that means creating "" human connection with each other regardless of our backgrounds, orientations, geographies, religions, languages, gender, race, etc. We care deeply about the people that we work with and want to see everyone succeed."" - Rajat Bhargava, CEO

Please submit your résumé and brief explanation about yourself and why you would be a good fit for JumpCloud. Please note JumpCloud is not accepting third party resumes at this time.

JumpCloud is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

#LI-Remote #BI-Remote

JumpCloud focuses on SaaS, Enterprise Software, B2B, and B2 B Market – Sme’S Specifically . Their company has offices in Denver and Boulder. They have a large team that's between 201-500 employees. To date, JumpCloud has raised $57.467M of funding; their latest round was closed on May 2019.

You can view their website at http://jumpcloud.com or find them on Twitter, Facebook, LinkedIn, and Product Hunt", Wellfound,backend%developer%20india
76b3cf50-9afc-441a-9f99-dde5901e5121,Back End Developer,"About This Role

Zoom is growing at an explosive pace by every measure - revenues, people, innovation, and customers. Led by Eric S. Yuan, the #1 ranked CEO on Glassdoor, our unique culture makes Zoom an awesome place to work. We are expanding teams across the organization. If you are motivated by delivering happiness, come join us at Zoom!

As a Back end Developer, you will be responsible for translating the CMS requirements into technical deliverables which include enterprise-level architecture and implementing strategies using components/pages in CMS (Wordpress and Optimizely) platform to support multi-site, multi-channel, multi-lingual delivery environments.

KEY RESPONSIBILITIES
• Partner with web developers, engineers, marketers, SEO, localization team, and designers to scale Zoom’s web production
• Collaborate with product managers, engineers, web developers, visual designers, and business stakeholders to create custom web pages for global product launches, marketing campaigns... events, and promotions.
• Develop Digital Consumer experiences using C# based Optimizely CMS.
• Help maintain and migrate existing Wordpress sites to Optimizely.
• Design efficient content models, security models, workflows, and templates
• Create components and page templates, combining backend C# .net Framework,, HTML/CSS, and frontend JavaScript frameworks technologies
• Work with architects to ensure that scalable solutions are created, alongside equally talented CMS engineers
• Diagnose and solve technical problems related to content management implementation.
• Conduct code reviews for ongoing projects to ensure optimal code quality and appropriate design patterns are used.
• Participate in project planning sessions with team members to analyze development requirements, provide work breakdown and estimates of work

QUALIFICATIONS
• 3 plus years of strong Web Content Management experience with C#(.net Framework) and frontend technologies.
• Expert level development skills using REST, Javascript, jQuery, AJAX, JSON, HTML, CSS, NodeJS and angularJS
• Solid experience with .net application building including templates, components, dialogs, widgets, and bundles.
• Experience with MVC based application development will have great add.
• Experience migrating from existing CMS to Optimizely is a plus
• Javascript Frameworks - preferred but not required
• AngularJS v4+/React or any other JS Framework.
• Working experience in PHP or LAMP/MAMP.
• Knowledge of version control systems such as GitHub or GitLab is a plus.
• Ability to troubleshoot code issues and recommend solutions.

We believe that the unique contributions of all Zoomies is the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. Zoom is proud to be an equal opportunity workplace and is an affirmative action employer. All your information will be kept confidential according to EEO guidelines.

We welcome people of different backgrounds, experiences, abilities and perspectives including qualified applicants with arrest and conviction records and any qualified applicants requiring reasonable accommodations in accordance with the law. If you need any assistance or accommodations due to a medical condition, or if you need assistance accessing our website or completing the application process, please let us know by emailing us at careers@zoom.us.

At Zoom, we care about our employees, their families, and their well-being. As part of our award-winning workplace culture and commitment to delivering happiness, our benefits program offers a variety of perks, benefits, and options to help employees maintain their physical, mental, emotional, and financial health; support work-life balance; and contribute to their community in meaningful ways. To view our benefits, click here.

Work Styles at Zoom

In most cases, you will have the opportunity to choose your preferred working location from the following options when you join Zoom: in-person, hybrid or remote. Visit this page for more information about Zoom's Workstyles.

About Us

Zoomies help people stay connected so they can get more done together. We set out to build the best video product for the enterprise, and today help people communicate better with products like Zoom Contact Center, Zoom Phone, Zoom Events, Zoom Apps, Zoom Rooms, and Zoom Webinars.

We’re problem-solvers, working at a fast pace to design solutions with our customers and users in mind. Here, you’ll work across teams to deliver impactful projects that are changing the way people communicate and enjoy opportunities to advance your career in a diverse, inclusive environment.

Explore Zoom:
• Hear from our leadership team
• Browse Awards and Employee Reviews on Comparably
• Visit our Blog
• Zoom with us!
• Find us on social at the links below and on Instagram
• View more jobs, sign up for job alerts and join our talent community. Visit the Zoom careers site", Careers - Zoom,backend%developer%20india
8dd95ec5-8b06-4cb4-bdd4-7aca3d0eeb91,Backend Developer (Django),"Qrate is a B2B Saas platform that helps recruiting firms and enterpise to optimise their Talent acquisition process from job creation to candidate screening to interview schedule.

Our platform leverages Al to deliver personalized and efficient recruitment services for both employers and job seekers.

We currently also operate Aviate, our B2C employability enhancement and placement product for job-seekers. With Aviate, we have launched India's first 100% Job Guarantee Program for HR and TA Roles.

Learn More about Aviate: www.aviate.jobs

Learn More about Q-Rate: www.qrate.ai

We are seeking a talented and experienced Backend Developer to join our growing team. As a Backend Developer, you will be responsible for designing, developing, and maintaining the server-side logic of our applications, ensuring high performance and responsiveness to requests from the front-end. You will work closely with our product and design teams to build robust and scalable solutions.

Responsibilities:
•... Develop, maintain, and optimize server-side logic for our web and mobile applications.
• Collaborate with front-end developers to integrate user-facing elements with server-side logic.
• Design and develop RESTful APIs to be consumed by the frontend.
• Ensure the performance, security, and scalability of our applications.
• Write clean, maintainable, and testable code using industry best practices.
• Participate in code reviews, troubleshooting, and debugging of complex issues.
• Stay up-to-date with emerging trends and technologies in web development.

Requirements:
• At least 2 years of experience in backend development.
• Strong proficiency in Python.
• Experience with Django web frameworks.
• Proficiency in database management and SQL (preferably postgres).
• Familiarity with RESTful API design and implementation.
• Good understanding of server-side technologies such as caching, message queues, and load balancing.
• Knowledge of software development principles such as SOLID, DRY, and YAGNI.
• Familiarity with version control systems such as Git or SVN.
• Excellent communication and teamwork skills.

Q-rate focuses on B2B · SaaS · Mobile · Artificial Intelligence / Machine Learning. Their company has offices in Goa. They have a small team that's between 1-10 employees.

You can view their website at https://qrate.ai", Wellfound,backend%developer%20india
ba6f36cb-666d-4ee1-aade-35de7961000d,Backend Developer,"● Background - 4+ years of proven experience working as a Backend Developer.

● Proficiency in NodeJS, Express and vanilla javascript.

● Hands-on experience with databases. (e.g. Postgres, MongoDB, Elasticsearch)

● Strong knowledge creating APIs. Knowledge using web sockets.

● Experience in creating REST API documentation using Open API or similar tools.

● Experience developing and creating architectures taking advantage of cloud services and capabilities

● Hands on experience on cloud services (AWS, GCP, Digital Ocean), git and CI/CD tools.", LinkedIn,backend%developer%20india
184c006d-dc47-47fe-b8db-aabfa97a999e,Senior Backend Developer,"Greeting and thank you for visiting our job post.

Supercoder is an AI-powered career development platform to connect developers around the world to remote job opportunities with competitive payment.

We are looking for Senior Backend Developer position with details as below.

Salary range: $2,500 - $4,000/month

Type of role: 100% full-time remote

Requirements:
• Proven experience as a Backend Developer, with expertise in [Python + FastAPI] or [Kotlin + Spring]
• Strong understanding of Domain-Driven Design (DDD) principles and ability to apply them in practice
• Familiarity with API design and RESTful APIs
• Solid understanding of databases and data modeling
• Excellent problem-solving skills and attention to detail
• Strong communication and teamwork skills
• Ability to work independently and meet project deadlines

Qualifications:
• Bachelor's degree or equivalent experience in Computer Science
• Ability to multi-task, organize, and prioritize work
• Experience working in Agile... development environments.
• Excellent problem-solving and analytical skills.
• Strong communication and collaboration skills", LinkedIn,backend%developer%20india
0c9f891a-bfbe-4d0a-a834-b88438fd1b13,Backend Developer,"Introduction

At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
• Work in an Agile, collaborative environment to build, deploy, configure, and maintain Lakehouse (SaaS) on multiple hyperscalers.
• Use continuous integration tools like Jenkins and Artifactory to build automation pipeline to deploy different service workloads for Lakehouse.
• Collaborate multiple development teams to enable a continuous integration environment that sustains high productivity levels and emphasizes defect prevention techniques.
• Design and implement automation for deployment, monitoring, logging, alerting of large-scale Lakehouse... environments.

Required Technical and Professional Expertise
• Around 3 years of relevant experience
• Virtualization, containerization technologies, containers orchestration software and cloud platforms
• Kubernetes clusters administration
• Usage of cloud services (Amazon Web Services, IBM Cloud, Microsoft Azure, Google Cloud Platform)
• Languages: GO, Python, Ruby
• Linux and shell scripting
• CI/CD Tools: Jenkins, Artifactory Development and operation of fully managed SaaS services * Source Control Tools: Git, GitHub
• Excellent communication skills.

Preferred Technical and Professional Expertise
• Experience with cloud SaaS security
• Hypershift and openshift
• Familiarity of RDBMS, data warehouse, data lakes
• Familiarity with Hive metastore and open data formats (Iceberg, Delta Lake, Hudi)
• Open-source data engines: Presto, Spark
• Data governance management
• Open-source software development

About Business UnitIBM Analytics enables organizations to engage with data to answer the toughest business questions, uncover patterns and pursue breakthrough ideas. IBM Analytics offers a complete portfolio of big data and analytics solutions to fuel the Cognitive business.

IBM Analytics delivers on the promise of cognitive business. Our portfolio provides the first and only end-to-end ecosystem of data, analytics and cognitive capabilities and expertise. Available on the cloud, on premises or in hybrid deployments, our portfolio helps organizations uncover insights that improve business processes and ideas that drive game-changing outcomes

This job requires you to be fully COVID-19 vaccinated prior to your start date and proof of vaccination status will be required before your start date. During the Onboarding process you will be asked to confirm your vaccination status, in case you are unable to get vaccinated for any reason, you can let us know at that stage. Please let us know if you are unable to be vaccinated due to medical or religious reasons. IBM will consider such requests on a case by case basis subject to submission of required proof by the candidate before a stipulated date.

Your Life @ IBMIn a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you'll be able to learn and develop yourself and your career, you'll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBMIBM's greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we're also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it's time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location StatementWhen applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status", IBM Jobs,backend%developer%20india
