,JOB TITLE,ROLE,ROLE CATEGORY,KEY SKILLS,FUNCTIONAL AREA
0, ONLINE BIDDING EXECUTIVE,SALES EXECUTIVE/OFFICER,RETAIL SALES, PRE SALES| CLOSING| SOFTWARE KNOWLEDGE| CLIENTS| REQUIREMENTS| NEGOTIATING| CLIENT| ONLINE BIDDING| GOOD COMMUNICATION| TECHNOLOGY,"SALES , RETAIL , BUSINESS DEVELOPMENT"
1, TECHNICAL SUPPORT,TECHNICAL SUPPORT ENGINEER,ADMIN/MAINTENANCE/SECURITY/DATAWAREHOUSING, TECHNICAL SUPPORT,"IT SOFTWARE - APPLICATION PROGRAMMING , MAINTENANCE"
2, SOFTWARE TEST ENGINEER -HYDERABAD,TESTING ENGINEER,PROGRAMMING & DESIGN, MANUAL TESTING| TEST ENGINEERING| TEST CASES| WEB TESTING| WEB TECHNOLOGIES,IT SOFTWARE - QA & TESTING
3, OPENING FOR ADOBE ANALYTICS SPECIALIST,SYSTEM ANALYST,PROGRAMMING & DESIGN, ADOBE EXPERIENCE MANAGER| DIGITAL| DIGITAL MARKETING| ADOBE ANALYTICS| DATA ANALYTICS| AEM| ADOBE| SITECATALYST,"IT SOFTWARE - APPLICATION PROGRAMMING , MAINTENANCE"
4, OPPORTUNITY FOR AZURE DEVOPS ARCHITECT FOR HYDERABAD LOCATION,TECHNICAL ARCHITECT,PROGRAMMING & DESIGN, TFS| AZURE| GIT| VSTS| DOCKER| DYNATRACE| SPLUNK| AWS,"IT SOFTWARE - APPLICATION PROGRAMMING , MAINTENANCE"
5, BDE- PUNE,SALES EXECUTIVE/OFFICER,INSTITUTIONAL SALES, BDE,"SALES , RETAIL , BUSINESS DEVELOPMENT"
6, TECHNICAL SUPPORT/ PRODUCT SUPPORT,ASSOCIATE/SENIOR ASSOCIATE -(TECHNICAL),VOICE, TECHNICAL SUPPORT| SUPPORT SERVICES| APPLICATION SUPPORT| COMMUNICATION SKILLS| VOICE BASED PROCESS| SEMI VOICE| SEMI VOICE PROCESS,"ITES , BPO , KPO , LPO , CUSTOMER SERVICE , OPERATIONS"
7, SEO EXECUTIVE,WEBMASTER,ADMIN/MAINTENANCE/SECURITY/DATAWAREHOUSING, WEBSITE| WEB ANALYTICS| XML| LINK BUILDING| GOOGLE ANALYTICS| CASE STUDIES| SEO| SOCIAL MEDIA| TRACKING| MAINTAINING,"IT SOFTWARE - ECOMMERCE , INTERNET TECHNOLOGIES"
8,ORACLE IDAM,SOFTWARE DEVELOPER,PROGRAMMING & DESIGN,ORACLE IDAM|OIM|OAM,"IT SOFTWARE - APPLICATION PROGRAMMING , MAINTENANCE"
9, ACCOUNT MANAGER,ACCOUNTS MANAGER,ACCOUNTS, REPORT GENERATION| POLICIES| ANALYTICAL| PROCEDURES| ANALYSTS| DATA ENTRY| ANALYTICAL SKILLS,"ACCOUNTS , FINANCE , TAX , COMPANY SECRETARY , AUDIT"
10, LOOKING FOR TRAINED FRESHERS IN MS DYNAMICS CRM- HYDERABAD,SOFTWARE DEVELOPER,PROGRAMMING & DESIGN, C#| MS DYNAMICS CRM| MICROSOFT DYNAMICS| MS DYNAMICS,"IT SOFTWARE - APPLICATION PROGRAMMING , MAINTENANCE"
11, BUSINESS DEVELOPMENT / CORPORATE SALES,SALES/BUSINESS DEVELOPMENT MANAGER,RETAIL SALES, LEAD GENERATION| BUSINESS DEVELOPMENT| CORPORATE SALES,"SALES , RETAIL , BUSINESS DEVELOPMENT"
12, BUSINESS DEVELOPMENT MANAGER (BDM),SALES/BUSINESS DEVELOPMENT MANAGER,RETAIL SALES, CONTRACT MANAGEMENT| CLOSING| IT SERVICES| RELATIONSHIP BUILDING| MANAGED SERVICES| SELLING| MARKET RESEARCH| BUSINESS DEVELOPMENT MANAGER| SALES,"SALES , RETAIL , BUSINESS DEVELOPMENT"
13, BACK END JAVA DEVELOPER - RESTFUL SERVICES/SOAP,SOFTWARE DEVELOPER,PROGRAMMING & DESIGN, JAVA EE| JMS| CORE JAVA| JUNIT| WEBLOGIC| HTML| JPA| JSON| SOAP| SQL,"IT SOFTWARE - DBA , DATAWAREHOUSING"
14, PRODUCT ENGINEER,SOFTWARE DEVELOPER,PROGRAMMING & DESIGN, CONCEPTUALIZATION| ARCHITECTING| CONTINUOUS IMPROVEMENT| SIDE| DEVELOPMENT| FRONT END| IT,"IT SOFTWARE - APPLICATION PROGRAMMING , MAINTENANCE"
15, SOFTWARE ENGINEER - C++ DEVELOPMENT - OOAD/OOPS,SOFTWARE DEVELOPER,PROGRAMMING & DESIGN, C#| JAVA| OOP| C++| MULTITHREADING| UML| OOAD| OOPS| .NET| DEBUGGING,"IT SOFTWARE - APPLICATION PROGRAMMING , MAINTENANCE"
